Billie Jean King
Ann Jones
Margaret Court
Evonne Goolagong
Billie Jean King
Billie Jean King
Chris Evert
Billie Jean King
Chris Evert
Virginia Wade
Martina Navratilova
Martina Navratilova
Evonne Goolagong
Chris Evert
Martina Navratilova
Martina Navratilova
Martina Navratilova
Martina Navratilova
Martina Navratilova
Martina Navratilova
Steffi Graf
Steffi Graf
Martina Navratilova
Steffi Graf
Steffi Graf
Steffi Graf
Conchita Martinez
Steffi Graf
Steffi Graf
Martina Hingis
Jana Novotna
Lindsay Davenport
Venus Williams
Venus Williams
Serena Williams
Serena Williams
Maria Sharapova
Venus Williams
Amelie Mauresmo
Venus Williams
Venus Williams
Serena Williams
Serena Williams
Petra Kvitova
Serena Williams
Marion Bartoli
Petra Kvitova
Serena Williams
Serena Williams
Garbine Muguruza
Angelique Kerber
Simona Halep
Ashleigh Barty
Elena Rybakina
Marketa Vondrousova
Barbora Krejcikova
Iga Swiatek
