Virginia Wade
Margaret Court
Margaret Court
Billie Jean King
Billie Jean King
Margaret Court
Billie Jean King
Chris Evert
Chris Evert
Chris Evert
Chris Evert
Tracy Austin
Chris Evert
Tracy Austin
Chris Evert
Martina Navratilova
Martina Navratilova
Hana Mandilkova
Martina Navratilova
Martina Navratilova
Steffi Graf
Steffi Graf
Gabriela Sabatini
Monica Seles
Monica Seles
Steffi Graf
Arantxa Sanchez Vicario
Steffi Graf
Steffi Graf
Martina Hingis
Lindsay Davenport
Serena Williams
Venus Williams
Venus Williams
Serena Williams
Justine Henin
Svetlana Kuznetsova
Kim Clijsters
Maria Sharapova
Justine Henin
Serena Williams
Kim Clijsters
Kim Clijsters
Samantha Stosur
Serena Williams
Serena Williams
Serena Williams
Flavia Pennetta
Angelique Kerber
Sloane Stephens
Naomi Osaka
Bianca Andreescu
Naomi Osaka
Emma Raducanu
Iga Swiatek
Coco Gauff
Aryna Sabalenka
Aryna Sabalenka
